Hospital Name,Base DRG Group,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent
Northwestern Memorial Hospital,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$1,906,561","$8,665,275",59,52,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
RUSH Specialty Hospital,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96 OR MORE HOURS  (207),"$1,094,584","$8,329,740",12,,Select Medical Corporation,Select Medical Corporation
Northwestern Memorial Hospital,"HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM  (001, 002)","$1,345,511","$7,389,209",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Regency Hospital of Northwest Indiana (AKA Regency Northwest Indiana),RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96 OR MORE HOURS  (207),"$437,711","$7,132,963",,,Select Medical Corporation,Select Medical Corporation
Northwestern Memorial Hospital,"ECMO OR TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.  (003)","$1,110,500","$6,929,515",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Mercy Medical Center (FKA Ascension Mercy),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$904,748","$5,476,626",64,54,Prime Healthcare Services,Prime Healthcare Services
Northwestern Memorial Hospital,ALLOGENEIC BONE MARROW TRANSPLANT  (014),"$115,806","$4,097,898",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
RUSH Specialty Hospital,"DEGENERATIVE NERVOUS SYSTEM DISORDERS  (056, 057)","$1,200,648","$4,068,472",32,32,Select Medical Corporation,Select Medical Corporation
RML Specialty Hospital Hinsdale,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96 OR MORE HOURS  (207),"$1,014,938","$4,009,480",19,13,Advocate Health Care,Advocate Health
Shirley Ryan AbilityLab (FKA the Rehabilitation Institute of Chicago),"DEGENERATIVE NERVOUS SYSTEM DISORDERS  (056, 057)","$1,184,565","$3,875,406",30,29,,
Northwestern Memorial Hospital,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES (018),"$645,297","$3,634,881",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Memorial Hospital,"CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH  (219, 220, 221)","$635,724","$3,569,181",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Memorial Hospital,SEPTICEMIA OR SEVERE SEPSIS W MV 96 OR MORE HOURS  (870),"$372,269","$3,411,733",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Christ Medical Center,"HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM  (001, 002)","$844,520","$3,359,148",,,Advocate Health Care,Advocate Health
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$615,861","$3,252,614",33,25,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Medicine Central DuPage Hospital,"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$460,997","$3,176,994",36,29,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Mercy Medical Center (FKA Ascension Mercy),"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$342,865","$2,961,739",,,Prime Healthcare Services,Prime Healthcare Services
Kindred Hospital Chicago - Northlake,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96 OR MORE HOURS  (207),"$619,197","$2,904,210",,,Kindred Hospitals,ScionHealth
Loyola University Medical Center,"ECMO OR TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.  (003)","$664,894","$2,832,982",,,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health)
Advocate Christ Medical Center,"TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.  (004)","$678,333","$2,799,853",,,Advocate Health Care,Advocate Health
Edward Hospital (FKA Edward Heart Hospital),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$531,450","$2,706,780",36,34,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Advocate Christ Medical Center,"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$555,951","$2,590,605",11,11,Advocate Health Care,Advocate Health
Kindred Hospital Chicago - Northlake,"EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS  (981, 982, 983)","$445,829","$2,483,333",,,Kindred Hospitals,ScionHealth
Northwestern Memorial Hospital,"OTHER DIGESTIVE SYSTEM DIAGNOSES  (393, 394, 395)","$229,174","$2,481,633",18,17,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Advocate Good Samaritan Hospital,"PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC (273, 274)","$547,994","$2,432,621",19,19,Advocate Health Care,Advocate Health
Edward Hospital (FKA Edward Heart Hospital),"PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC (273, 274)","$236,746","$2,286,377",12,11,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Evanston Hospital (AKA NorthShore Evanston Hospital),"SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS  (871, 872)","$479,127","$2,258,622",31,28,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Northwestern Medicine Marianjoy Rehabilitation Hospital,"DEGENERATIVE NERVOUS SYSTEM DISORDERS  (056, 057)","$1,284,646","$2,241,616",35,33,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
University of Illinois Hospital,KIDNEY TRANSPLANT  (652),"$266,518","$2,236,867",,,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health)
Northwestern Memorial Hospital,"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE  (853, 854, 855)","$441,611","$2,229,059",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Memorial Hospital,"CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES  (025, 026, 027)","$314,839","$2,205,994",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Northwestern Memorial Hospital,"MAJOR SMALL & LARGE BOWEL PROCEDURES  (329, 330, 331)","$360,104","$2,149,827",,,Northwestern Medicine (AKA Northwestern Memorial Healthcare),
Edward Hospital (FKA Edward Heart Hospital),"CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH  (219, 220, 221)","$281,790","$2,143,876",,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health)
Shirley Ryan AbilityLab (FKA the Rehabilitation Institute of Chicago),"AFTERCARE  (949, 950)","$626,867","$2,138,531",21,18,,
