DRG,DRG Description,Attending Physician NPI,First Name,Last Name,Primary Specialty,Primary Hospital Affiliation,Medicare Total Pmts,Medicare Avg Pmt/Claim,Medicare Total Charges,Medicare Charge/Claim,Medicare Total # of Claims
235,CORONARY BYPASS W/O CARDIAC CATH W MCC,1477548170,Antone,Tatooles,Cardiology - Cardiac Surgery,"Advocate Christ Medical Center (Oak Lawn, IL)","$1,776,302","$71,052","$4,476,507","$179,060",25
454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,1205002607,Matthew,Colman,Surgery - Orthopedic Surgery,"Rush University Medical Center (Chicago, IL)","$1,499,050","$78,897","$2,944,397","$154,968",19
219,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,1477548170,Antone,Tatooles,Cardiology - Cardiac Surgery,"Advocate Christ Medical Center (Oak Lawn, IL)","$1,455,409","$85,612","$4,112,162","$241,892",17
025,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,1225022759,Lorenzo,Munoz,Surgery - Neurosurgery,"Rush University Medical Center (Chicago, IL)","$1,230,093","$53,482","$2,709,418","$117,801",23
164,MAJOR CHEST PROCEDURES W CC,1245338607,Michael,Liptay,Surgery - Thoracic Surgery,"Rush University Medical Center (Chicago, IL)","$1,104,958","$28,332","$1,974,258","$50,622",39
837,CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,1912967688,Melissa,Larson,Hematology,"Rush University Medical Center (Chicago, IL)","$1,101,324","$68,833","$2,212,906","$138,307",16
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,1992962450,Hussam,Suradi,Cardiology - Cardiologist,"Community Hospital (Munster, IN)","$1,094,215","$54,711","$3,499,249","$174,962",20
003,"ECMO OR TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",1235410796,David,Stern,Surgery - Thoracic Surgery,"Advocate Christ Medical Center (Oak Lawn, IL)","$1,083,603",,"$1,608,958",,
834,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC,1912967688,Melissa,Larson,Hematology,"Rush University Medical Center (Chicago, IL)","$1,027,887","$93,444","$3,393,188","$308,472",11
163,MAJOR CHEST PROCEDURES W MCC,1245338607,Michael,Liptay,Surgery - Thoracic Surgery,"Rush University Medical Center (Chicago, IL)","$983,672","$51,772","$1,560,288","$82,120",19
457,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR 9 OR MORE FUS W CC,1952334948,Christopher,Dewald,Surgery - Orthopedic Surgery,"Rush University Medical Center (Chicago, IL)","$969,637","$69,260","$3,316,718","$236,908",14
003,"ECMO OR TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",1477548170,Antone,Tatooles,Cardiology - Cardiac Surgery,"Advocate Christ Medical Center (Oak Lawn, IL)","$878,998",,"$3,001,389",,
216,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W CARD CATH W MCC,1477548170,Antone,Tatooles,Cardiology - Cardiac Surgery,"Advocate Christ Medical Center (Oak Lawn, IL)","$828,664",,"$2,376,830",,
018,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,1023278892,Sunita,Nathan,Oncology - Hematology/Oncology,"Rush University Medical Center (Chicago, IL)","$795,226",,"$3,158,478",,
025,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,1508159146,Stephan,Munich,Surgery - Neurosurgery,"Rush University Medical Center (Chicago, IL)","$777,257","$51,817","$1,732,456","$115,497",15
233,CORONARY BYPASS W CARDIAC CATH W MCC,1477548170,Antone,Tatooles,Cardiology - Cardiac Surgery,"Advocate Christ Medical Center (Oak Lawn, IL)","$752,746",,"$2,392,536",,
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,1073681136,Dennis,Keane,Physical Medicine and Rehabilitation,"Northwestern Medicine Marianjoy Rehabilitation Hospital (Wheaton, IL)","$723,185","$32,872","$1,953,607","$88,800",22
003,"ECMO OR TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",1528031846,Sayona,John,Neurology,"Rush University Medical Center (Chicago, IL)","$718,107",,"$1,105,453",,
266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC,1992962450,Hussam,Suradi,Cardiology - Cardiologist,"Community Hospital (Munster, IN)","$694,175",,"$1,901,201",,
014,ALLOGENEIC BONE MARROW TRANSPLANT,1023278892,Sunita,Nathan,Oncology - Hematology/Oncology,"Rush University Medical Center (Chicago, IL)","$665,041",,"$2,034,723",,
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC",1073681136,Dennis,Keane,Physical Medicine and Rehabilitation,"Northwestern Medicine Marianjoy Rehabilitation Hospital (Wheaton, IL)","$652,581","$27,191","$1,814,408","$75,600",24
652,KIDNEY TRANSPLANT,1548471212,Edward,Hollinger,Surgery - General Surgery,"Rush University Medical Center (Chicago, IL)","$650,148","$54,179","$3,081,035","$256,753",12
454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,1619926672,John,O'Toole,Surgery - Neurosurgery,"Rush University Medical Center (Chicago, IL)","$628,843",,"$1,267,976",,
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,1265451397,Babak,Mokhlesi,Pulmonary Disease,"Rush University Medical Center (Chicago, IL)","$616,088",,"$871,501",,
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,1275763708,Fareed Moses,Collado,Cardiology - Cardiologist,"Rush University Medical Center (Chicago, IL)","$592,757","$49,396","$2,022,130","$168,511",12
454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,1952334948,Christopher,Dewald,Surgery - Orthopedic Surgery,"Rush University Medical Center (Chicago, IL)","$571,486",,"$1,697,531",,
457,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR 9 OR MORE FUS W CC,1205002607,Matthew,Colman,Surgery - Orthopedic Surgery,"Rush University Medical Center (Chicago, IL)","$558,666",,"$1,404,228",,
454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,1235194028,Harel,Deutsch,Surgery - Neurosurgery,"Rush University Medical Center (Chicago, IL)","$553,928",,"$954,920",,
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,1407835176,Edward,Goldberg,Surgery - Orthopedic Spine Surgery,"Rush University Medical Center (Chicago, IL)","$552,271","$36,818","$1,292,199","$86,147",15
023,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,1306343595,Zain,Ashary,Neurology,"Rush University Medical Center (Chicago, IL)","$537,315",,"$1,120,051",,
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,1972760718,Steve,Attanasio,Cardiology - Interventional Cardiology,"Rush University Medical Center (Chicago, IL)","$536,920",,"$1,700,040",,
219,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,1235410796,David,Stern,Surgery - Thoracic Surgery,"Advocate Christ Medical Center (Oak Lawn, IL)","$535,295",,"$1,140,247",,
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,1447473426,Richard,Fessler,Surgery - Neurosurgery,"Rush University Medical Center (Chicago, IL)","$517,681","$47,062","$978,689","$88,972",11
453,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC,1316179088,Ricardo,Fontes,Surgery - Neurosurgery,"Rush University Medical Center (Chicago, IL)","$513,108",,"$2,002,847",,
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,1205002607,Matthew,Colman,Surgery - Orthopedic Surgery,"Rush University Medical Center (Chicago, IL)","$501,050","$38,542","$1,564,818","$120,371",13
235,CORONARY BYPASS W/O CARDIAC CATH W MCC,1235410796,David,Stern,Surgery - Thoracic Surgery,"Advocate Christ Medical Center (Oak Lawn, IL)","$493,907",,"$762,462",,
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,1366503195,Neeraj,Jolly,Cardiology - Cardiologist,"Rush University Medical Center (Chicago, IL)","$490,663",,"$1,595,943",,
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,1417121872,Henry,Govekar,Surgery - General Surgery,"Rush University Medical Center (Chicago, IL)","$489,094","$28,770","$1,372,397","$80,729",17
470,MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,1114184058,Denis,Nam,Surgery - Orthopedic Surgery,"Rush University Medical Center (Chicago, IL)","$488,162","$19,526","$1,565,804","$62,632",25
455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,1205002607,Matthew,Colman,Surgery - Orthopedic Surgery,"Rush University Medical Center (Chicago, IL)","$487,950",,"$1,213,331",,
057,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,1093977456,Sana,Siddiqui,Physical Medicine and Rehabilitation,"Rush Copley Medical Center (AKA Copley Memorial Hospital) (Aurora, IL)","$479,939","$31,996","$1,286,557","$85,770",15
023,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,1225022759,Lorenzo,Munoz,Surgery - Neurosurgery,"Rush University Medical Center (Chicago, IL)","$462,101",,"$938,591",,
652,KIDNEY TRANSPLANT,1275888703,Oyedolamu,Olaitan,Surgery - General Surgery,"Rush University Medical Center (Chicago, IL)","$451,994","$32,285","$3,416,254","$244,018",14
003,"ECMO OR TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",1114456704,Andrea,Sterenstein,Neurology,"Rush University Medical Center (Chicago, IL)","$450,314",,"$452,564",,
654,MAJOR BLADDER PROCEDURES W CC,1558585307,Gary,Steinberg,Urology,"Rush University Medical Center (Chicago, IL)","$448,482","$40,771","$1,088,945","$98,995",11
165,MAJOR CHEST PROCEDURES W/O CC/MCC,1245338607,Michael,Liptay,Surgery - Thoracic Surgery,"Rush University Medical Center (Chicago, IL)","$440,683","$20,985","$987,780","$47,037",21
274,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,1992962450,Hussam,Suradi,Cardiology - Cardiologist,"Community Hospital (Munster, IN)","$434,577","$31,041","$1,793,920","$128,137",14
457,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR 9 OR MORE FUS W CC,1316179088,Ricardo,Fontes,Surgery - Neurosurgery,"Rush University Medical Center (Chicago, IL)","$431,656",,"$1,347,897",,
427,MULTIPLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL WITH CC,1174028633,Nathan,Lee,Surgery - Orthopedic Surgery,"Rush University Medical Center (Chicago, IL)","$430,016",,"$1,543,059",,
559,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC",1073681136,Dennis,Keane,Physical Medicine and Rehabilitation,"Northwestern Medicine Marianjoy Rehabilitation Hospital (Wheaton, IL)","$429,272","$35,773","$1,090,513","$90,876",12
560,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC",1093977456,Sana,Siddiqui,Physical Medicine and Rehabilitation,"Rush Copley Medical Center (AKA Copley Memorial Hospital) (Aurora, IL)","$429,067","$26,817","$1,410,724","$88,170",16
840,LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,1093774465,Parameswaren,Venugopal,Oncology - Hematology/Oncology,"Rush Oak Park Hospital (Oak Park, IL)","$428,922",,"$1,433,165",,
454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,1316179088,Ricardo,Fontes,Surgery - Neurosurgery,"Rush University Medical Center (Chicago, IL)","$424,078",,"$1,631,303",,
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,1235194028,Harel,Deutsch,Surgery - Neurosurgery,"Rush University Medical Center (Chicago, IL)","$421,430",,"$806,852",,
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,1417121872,Henry,Govekar,Surgery - General Surgery,"Rush University Medical Center (Chicago, IL)","$410,434",,"$806,719",,
483,MAJOR JOINT & LIMB REATTACHMENT PROC OF UPPER EXTREMITY W CC/MCC,1477532141,Gregory,Nicholson,Sports Medicine,"Rush University Medical Center (Chicago, IL)","$402,766","$26,851","$1,209,510","$80,634",15
885,PSYCHOSES,1215056296,Lance,Holemon,Psychiatry,"Rush University Medical Center (Chicago, IL)","$401,241","$14,861","$1,284,679","$47,581",27
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS W MCC,1003127895,Sunita,Koul,Hospitalist,"Mercy Medical Center (FKA Ascension Mercy) (Aurora, IL)","$399,736","$14,276","$1,745,447","$62,337",28
949,AFTERCARE W CC/MCC,1093977456,Sana,Siddiqui,Physical Medicine and Rehabilitation,"Rush Copley Medical Center (AKA Copley Memorial Hospital) (Aurora, IL)","$399,404","$28,529","$1,198,776","$85,627",14
266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W MCC,1972760718,Steve,Attanasio,Cardiology - Interventional Cardiology,"Rush University Medical Center (Chicago, IL)","$399,241",,"$1,392,004",,
233,CORONARY BYPASS W CARDIAC CATH W MCC,1235410796,David,Stern,Surgery - Thoracic Surgery,"Advocate Christ Medical Center (Oak Lawn, IL)","$394,216",,"$1,137,637",,
885,PSYCHOSES,1639691090,Kelly,Rhodes,Psychiatry,"Rush University Medical Center (Chicago, IL)","$390,647","$13,022","$1,127,692","$37,590",30
456,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR 9 OR MORE FUS W MCC,1952334948,Christopher,Dewald,Surgery - Orthopedic Surgery,"Rush University Medical Center (Chicago, IL)","$388,179",,"$1,196,406",,
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,1699794495,Jeffrey,Soble,Cardiology - Cardiologist,"Rush University Medical Center (Chicago, IL)","$385,757",,"$1,300,320",,
463,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W MCC",1699942177,Samer,Al-Khudari,Otolaryngology,"Rush University Medical Center (Chicago, IL)","$382,615",,"$382,615",,
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS W MCC,1033542022,Kush,Desai,Family Practice,"Rush Oak Park Hospital (Oak Park, IL)","$378,774","$14,568","$901,393","$34,669",26
005,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,1245373703,Edie,Chan,Surgery - General Surgery,"Rush University Medical Center (Chicago, IL)","$378,713",,"$1,370,404",,
454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,1013996701,Frank,Phillips,Surgery - Orthopedic Spine Surgery,"Rush University Medical Center (Chicago, IL)","$371,390",,"$505,661",,
949,AFTERCARE W CC/MCC,1073681136,Dennis,Keane,Physical Medicine and Rehabilitation,"Northwestern Medicine Marianjoy Rehabilitation Hospital (Wheaton, IL)","$364,225","$24,282","$975,820","$65,055",15
837,CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,1801053905,Irene,Dehghan-Paz,Oncology - Hematology/Oncology,"Rush University Medical Center (Chicago, IL)","$357,192",,"$599,618",,
004,"TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.",1871989483,Karen,Jackson,Pulmonary Disease,"Rush University Medical Center (Chicago, IL)","$351,322",,"$606,675",,
885,PSYCHOSES,1225318181,Sarthak,Misra,Psychiatry,"Rush University Medical Center (Chicago, IL)","$348,414","$13,937","$1,039,555","$41,582",25
023,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,1760648760,Rajeev,Garg,Neurology,"Rush University Medical Center (Chicago, IL)","$344,020",,"$774,236",,
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS W MCC,1104877414,Philip,Moore,Internal Medicine,"Rush Copley Medical Center (AKA Copley Memorial Hospital) (Aurora, IL)","$334,157","$18,564","$1,008,726","$56,040",18
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS W MCC,1609220276,Antonio,Barrios,Hospitalist,"Rush Oak Park Hospital (Oak Park, IL)","$333,706","$13,348","$1,076,968","$43,079",25
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,1124553920,Arooshi,Kumar,Neurology,"Rush University Medical Center (Chicago, IL)","$327,340","$29,758","$701,657","$63,787",11
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,1699911123,Amit,Amin,Cardiology - Interventional Cardiology,"Dartmouth-Hitchcock Medical Center (Lebanon, NH)","$325,063",,"$982,993",,
023,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,1114456704,Andrea,Sterenstein,Neurology,"Rush University Medical Center (Chicago, IL)","$325,029",,"$1,001,446",,
001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1508329665,Haley,Herman,Hospitalist,"Rush University Medical Center (Chicago, IL)","$318,725",,"$920,844",,
464,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC",1497173900,David,Kurlander,Surgery - Plastic and Reconstructive Surgery,"Rush University Medical Center (Chicago, IL)","$318,440",,"$1,370,421",,
326,"STOMACH, ESOPHAGEAL & DUODENAL PROC W MCC",1467667360,Christopher,Seder,Surgery - Thoracic Surgery,"Rush University Medical Center (Chicago, IL)","$316,694",,"$692,888",,
016,AUTOLOGOUS BONE MARROW TRANSPLANT W CC/MCC,1013010487,Celalettin,Ustun,Hematology,"Rush University Medical Center (Chicago, IL)","$315,148",,"$651,666",,
472,CERVICAL SPINAL FUSION W CC,1619926672,John,O'Toole,Surgery - Neurosurgery,"Rush University Medical Center (Chicago, IL)","$313,626",,"$1,049,500",,
025,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,1972710101,Richard,Crowley,Surgery - Neurosurgery,"Rush University Medical Center (Chicago, IL)","$313,365",,"$624,625",,
653,MAJOR BLADDER PROCEDURES W MCC,1558585307,Gary,Steinberg,Urology,"Rush University Medical Center (Chicago, IL)","$312,833",,"$604,173",,
455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,1235194028,Harel,Deutsch,Surgery - Neurosurgery,"Rush University Medical Center (Chicago, IL)","$310,087",,"$567,339",,
