DRG code,Description,Total pmts - this hospital,Total pmts - patient universe,% pmts at this hospital,Total charges - this hospital,Total charges - patient universe,% charges at this hospital,Total claims - this hospital,Total claims - patient universe,% claims at this hospital
871-,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS W MCC,"$11,615,673","$27,625,718",42.0%,"$37,156,423","$110,848,798",33.5%,590,"1,484",39.8%
853-,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,"$7,228,675","$13,533,423",53.4%,"$20,399,864","$50,395,915",40.5%,125,270,46.3%
291-,HEART FAILURE & SHOCK W MCC,"$5,982,227","$12,573,709",47.6%,"$18,629,255","$45,221,595",41.2%,490,"1,011",48.5%
003-,"ECMO OR TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.","$5,336,110","$9,036,644",59.0%,"$11,508,195","$28,794,011",40.0%,23,38,60.5%
057-,DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,"$3,162,257","$8,839,523",35.8%,"$7,954,777","$24,016,603",33.1%,140,371,37.7%
885-,PSYCHOSES,"$1,367,544","$8,564,987",16.0%,"$3,962,127","$27,609,702",14.4%,92,953,9.7%
981-,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"$3,247,479","$6,576,517",49.4%,"$10,457,653","$26,309,608",39.7%,66,122,54.1%
177-,RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,"$2,941,233","$6,391,558",46.0%,"$9,070,133","$23,270,042",39.0%,198,446,44.4%
207-,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96 OR MORE HOURS,"$967,925","$6,204,031",15.6%,"$2,446,287","$34,980,513",7.0%,17,99,17.2%
064-,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,"$3,689,717","$5,868,212",62.9%,"$11,832,989","$21,520,643",55.0%,170,282,60.3%
454-,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,"$4,490,714","$5,747,866",78.1%,"$10,037,544","$15,699,685",63.9%,62,88,70.5%
025-,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,"$3,761,306","$5,450,857",69.0%,"$8,837,589","$15,147,933",58.3%,72,105,68.6%
267-,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,"$3,873,573","$5,174,719",74.9%,"$12,671,983","$19,569,966",64.8%,72,104,69.2%
004-,"TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W/O MAJ O.R.","$2,313,904","$5,131,321",45.1%,"$5,204,101","$15,349,045",33.9%,20,41,48.8%
640-,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","$2,915,399","$5,023,938",58.0%,"$8,810,526","$17,287,565",51.0%,222,406,54.7%
698-,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"$2,256,777","$4,751,270",47.5%,"$5,940,410","$16,055,104",37.0%,143,327,43.7%
056-,DEGENERATIVE NERVOUS SYSTEM DISORDERS W MCC,"$1,997,390","$4,590,867",43.5%,"$4,564,048","$12,750,968",35.8%,73,162,45.1%
193-,SIMPLE PNEUMONIA & PLEURISY W MCC,"$2,405,991","$4,452,832",54.0%,"$8,368,302","$18,800,005",44.5%,215,409,52.6%
023-,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,"$3,162,406","$4,407,450",71.8%,"$7,864,674","$12,969,455",60.6%,45,68,66.2%
274-,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,"$2,514,187","$4,353,453",57.8%,"$11,153,316","$22,587,509",49.4%,90,163,55.2%
560-,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC","$1,574,641","$4,239,104",37.1%,"$4,671,610","$11,257,344",41.5%,66,170,38.8%
460-,SPINAL FUSION EXCEPT CERVICAL W/O MCC,"$3,357,138","$4,123,409",81.4%,"$9,331,981","$14,201,312",65.7%,83,110,75.5%
280-,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC","$2,055,935","$4,113,985",50.0%,"$8,560,626","$18,746,030",45.7%,136,289,47.1%
949-,AFTERCARE W CC/MCC,"$1,415,209","$4,087,448",34.6%,"$3,382,204","$10,750,822",31.5%,57,158,36.1%
189-,PULMONARY EDEMA & RESPIRATORY FAILURE,"$1,587,459","$4,033,825",39.4%,"$5,369,856","$17,990,205",29.8%,133,313,42.5%
219-,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,"$2,308,343","$4,027,264",57.3%,"$6,554,724","$15,527,865",42.2%,25,50,50.0%
252-,OTHER VASCULAR PROCEDURES W MCC,"$2,812,448","$3,757,092",74.9%,"$9,112,671","$12,635,197",72.1%,74,107,69.2%
470-,MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$2,580,359","$3,728,363",69.2%,"$12,581,687","$20,096,307",62.6%,184,267,68.9%
329-,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,"$1,905,653","$3,686,580",51.7%,"$6,901,494","$14,680,167",47.0%,42,84,50.0%
270-,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,"$2,032,192","$3,675,739",55.3%,"$6,954,482","$14,067,728",49.4%,38,71,53.5%
314-,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,"$1,886,941","$3,635,586",51.9%,"$5,464,532","$13,045,959",41.9%,79,184,42.9%
682-,RENAL FAILURE W MCC,"$1,996,791","$3,581,666",55.8%,"$6,570,920","$15,485,131",42.4%,137,262,52.3%
377-,G.I. HEMORRHAGE W MCC,"$1,695,033","$3,412,045",49.7%,"$6,282,789","$15,284,354",41.1%,83,200,41.5%
