Zip Code,City,State,Medicare Total Charges,Medicare Avg Charge/Case,Medicare % of Charges Within Search,Medicare Total # of Cases,Medicare Total Days of Care
60505,Aurora,IL,"$56,422,209","$68,308",4.4%,826,"4,384"
60543,Oswego,IL,"$55,462,788","$64,342",4.3%,862,"4,215"
60560,Yorkville,IL,"$50,145,907","$71,028",3.9%,706,"3,781"
60538,Montgomery,IL,"$42,848,631","$64,145",3.3%,668,"3,383"
60302,Oak Park,IL,"$35,683,564","$53,339",2.8%,669,"3,480"
60623,Chicago,IL,"$32,592,836","$70,547",2.5%,462,"2,742"
60504,Aurora,IL,"$32,002,333","$64,521",2.5%,496,"2,494"
60644,Chicago,IL,"$31,383,971","$56,958",2.4%,551,"3,041"
60506,Aurora,IL,"$31,211,689","$64,889",2.4%,481,"2,387"
60608,Chicago,IL,"$28,974,822","$57,719",2.3%,502,"2,372"
60612,Chicago,IL,"$26,439,350","$60,502",2.1%,437,"2,337"
60651,Chicago,IL,"$26,309,369","$60,761",2.0%,433,"2,426"
60624,Chicago,IL,"$22,560,031","$58,295",1.8%,387,"2,128"
60616,Chicago,IL,"$20,747,932","$70,571",1.6%,294,"1,657"
60632,Chicago,IL,"$19,075,598","$74,514",1.5%,256,"1,368"
60639,Chicago,IL,"$17,861,319","$62,452",1.4%,286,"1,563"
60609,Chicago,IL,"$16,550,848","$62,221",1.3%,266,"1,406"
60402,Berwyn,IL,"$15,835,527","$56,555",1.2%,280,"1,607"
60629,Chicago,IL,"$15,775,692","$67,131",1.2%,235,"1,211"
60130,Forest Park,IL,"$15,291,673","$60,681",1.2%,252,"1,392"
60545,Plano,IL,"$15,010,048","$65,834",1.2%,228,"1,091"
60304,Oak Park,IL,"$14,986,354","$57,419",1.2%,261,"1,325"
60620,Chicago,IL,"$14,176,024","$93,881",1.1%,151,893
60707,Elmwood Park,IL,"$14,135,480","$62,824",1.1%,225,"1,035"
60804,Cicero,IL,"$12,539,027","$73,328",1.0%,171,964
60502,Aurora,IL,"$11,914,122","$69,673",0.9%,171,"1,003"
60619,Chicago,IL,"$11,846,372","$75,938",0.9%,156,910
60617,Chicago,IL,"$11,308,128","$80,772",0.9%,140,809
60628,Chicago,IL,"$11,169,111","$78,656",0.9%,142,951
60607,Chicago,IL,"$10,824,364","$62,569",0.8%,173,981
60544,Plainfield,IL,"$10,426,988","$78,398",0.8%,133,713
60503,Aurora,IL,"$10,278,451","$72,897",0.8%,141,801
60305,River Forest,IL,"$10,224,498","$46,056",0.8%,222,"1,010"
60548,Sandwich,IL,"$10,111,689","$69,736",0.8%,145,776
60634,Chicago,IL,"$9,977,250","$68,809",0.8%,145,826
60647,Chicago,IL,"$9,485,180","$69,235",0.7%,137,800
60641,Chicago,IL,"$7,559,782","$66,901",0.6%,113,560
60638,Chicago,IL,"$7,500,260","$65,792",0.6%,114,589
60643,Chicago,IL,"$7,323,824","$63,685",0.6%,115,593
46307,Crown Point,IN,"$7,248,163","$102,087",0.6%,71,386
60564,Naperville,IL,"$7,016,888","$80,654",0.5%,87,465
60622,Chicago,IL,"$6,835,982","$71,958",0.5%,95,456
60653,Chicago,IL,"$6,677,301","$66,773",0.5%,100,510
60554,Sugar Grove,IL,"$6,524,321","$62,734",0.5%,104,504
60621,Chicago,IL,"$6,438,012","$94,677",0.5%,68,480
60618,Chicago,IL,"$6,395,891","$71,864",0.5%,89,405
60636,Chicago,IL,"$6,347,582","$82,436",0.5%,77,527
60411,Chicago Heights,IL,"$6,119,014","$88,681",0.5%,69,486
60649,Chicago,IL,"$6,041,795","$79,497",0.5%,76,489
46375,Schererville,IN,"$5,791,891","$156,538",0.4%,37,270
60640,Chicago,IL,"$5,540,865","$80,302",0.4%,69,400
60419,Dolton,IL,"$5,433,308","$169,791",0.4%,32,198
60586,Plainfield,IL,"$5,219,157","$84,180",0.4%,62,369
60585,Plainfield,IL,"$5,124,817","$68,331",0.4%,75,362
60542,North Aurora,IL,"$4,988,942","$67,418",0.4%,74,361
60453,Oak Lawn,IL,"$4,972,652","$113,015",0.4%,44,237
60154,Westchester,IL,"$4,871,687","$73,813",0.4%,66,375
60438,Lansing,IL,"$4,738,833","$94,777",0.4%,50,300
60104,Bellwood,IL,"$4,715,897","$64,601",0.4%,73,408
60605,Chicago,IL,"$4,683,659","$60,827",0.4%,77,281
60613,Chicago,IL,"$4,648,574","$98,906",0.4%,47,248
60611,Chicago,IL,"$4,645,895","$89,344",0.4%,52,313
46322,Highland,IN,"$4,601,420","$115,036",0.4%,40,211
60148,Lombard,IL,"$4,526,954","$107,785",0.4%,42,210
60153,Maywood,IL,"$4,402,182","$55,724",0.3%,79,372
60563,Naperville,IL,"$4,258,902","$83,508",0.3%,51,312
60615,Chicago,IL,"$4,245,364","$70,756",0.3%,60,296
60642,Chicago,IL,"$4,231,904","$75,570",0.3%,56,295
60827,Riverdale,IL,"$4,041,852","$89,819",0.3%,45,342
46410,Merrillville,IN,"$4,014,512","$111,514",0.3%,36,298
60610,Chicago,IL,"$3,942,213","$57,974",0.3%,68,304
60477,Tinley Park,IL,"$3,877,599","$84,296",0.3%,46,245
46350,La Porte,IN,"$3,874,227","$117,401",0.3%,33,175
60409,Calumet City,IL,"$3,866,180","$62,358",0.3%,62,305
60630,Chicago,IL,"$3,736,062","$76,246",0.3%,49,276
60637,Chicago,IL,"$3,719,289","$65,251",0.3%,57,326
60435,Joliet,IL,"$3,681,797","$87,662",0.3%,42,264
60652,Chicago,IL,"$3,588,490","$105,544",0.3%,34,199
60446,Romeoville,IL,"$3,583,957","$85,332",0.3%,42,233
60010,Barrington,IL,"$3,498,714","$112,862",0.3%,31,200
60415,Chicago Ridge,IL,"$3,401,850","$170,093",0.3%,20,223
60546,Riverside,IL,"$3,375,353","$63,686",0.3%,53,274
60614,Chicago,IL,"$3,323,536","$61,547",0.3%,54,198
60540,Naperville,IL,"$3,240,870","$64,817",0.3%,50,199
46311,Dyer,IN,"$3,209,921","$71,332",0.2%,45,177
60558,Western Springs,IL,"$3,207,047","$200,440",0.2%,16,209
60404,Shorewood,IL,"$3,148,888","$104,963",0.2%,30,190
46383,Valparaiso,IN,"$3,074,274","$90,420",0.2%,34,123
60443,Matteson,IL,"$3,067,262","$90,214",0.2%,34,238
60657,Chicago,IL,"$3,065,226","$82,844",0.2%,37,153
60462,Orland Park,IL,"$3,006,625","$91,110",0.2%,33,213
60123,Elgin,IL,"$2,986,707","$186,669",0.2%,16,102
60510,Batavia,IL,"$2,978,225","$70,910",0.2%,42,179
60516,Downers Grove,IL,"$2,931,707","$146,585",0.2%,20,215
46321,Munster,IN,"$2,931,582","$112,753",0.2%,26,125
60459,Burbank,IL,"$2,930,896","$97,697",0.2%,30,206
60062,Northbrook,IL,"$2,920,799","$73,020",0.2%,40,240
60523,Oak Brook,IL,"$2,882,340","$84,775",0.2%,34,152
60440,Bolingbrook,IL,"$2,881,564","$70,282",0.2%,41,187
60626,Chicago,IL,"$2,871,723","$89,741",0.2%,32,188
60441,Lockport,IL,"$2,861,321","$119,222",0.2%,24,272
60625,Chicago,IL,"$2,859,393","$89,356",0.2%,32,138
60527,Willowbrook,IL,"$2,847,952","$98,205",0.2%,29,175
46303,Cedar Lake,IN,"$2,837,392","$97,841",0.2%,29,157
60301,Oak Park,IL,"$2,810,627","$51,102",0.2%,55,269
46319,Griffith,IN,"$2,808,496","$112,340",0.2%,25,212
46342,Hobart,IN,"$2,791,067","$90,034",0.2%,31,173
60645,Chicago,IL,"$2,786,053","$103,187",0.2%,27,177
60016,Des Plaines,IL,"$2,744,295","$114,346",0.2%,24,228
46373,Saint John,IN,"$2,729,879","$118,690",0.2%,23,132
60541,Newark,IL,"$2,713,370","$64,604",0.2%,42,187
60160,Melrose Park,IL,"$2,594,202","$57,649",0.2%,45,220
60406,Blue Island,IL,"$2,467,447","$82,248",0.2%,30,205
60656,Chicago,IL,"$2,455,094","$79,197",0.2%,31,174
60085,Waukegan,IL,"$2,454,541","$106,719",0.2%,23,173
60014,Crystal Lake,IL,"$2,442,249","$97,690",0.2%,25,155
61350,Ottawa,IL,"$2,440,040","$84,139",0.2%,29,107
60417,Crete,IL,"$2,400,056","$82,761",0.2%,29,157
60430,Homewood,IL,"$2,376,457","$84,873",0.2%,28,139
60659,Chicago,IL,"$2,360,598","$71,533",0.2%,33,187
60466,Park Forest,IL,"$2,358,274","$69,361",0.2%,34,229
60565,Naperville,IL,"$2,331,942","$63,025",0.2%,37,149
46385,Valparaiso,IN,"$2,316,499","$89,096",0.2%,26,75
60517,Woodridge,IL,"$2,267,967","$78,206",0.2%,29,124
60448,Mokena,IL,"$2,266,369","$80,942",0.2%,28,143
60423,Frankfort,IL,"$2,255,908","$77,790",0.2%,29,154
60655,Chicago,IL,"$2,255,178","$75,173",0.2%,30,173
60803,Alsip,IL,"$2,250,580","$72,599",0.2%,31,209
60126,Elmhurst,IL,"$2,249,652","$89,986",0.2%,25,110
46304,Chesterton,IN,"$2,249,060","$107,098",0.2%,21,153
60473,South Holland,IL,"$2,248,666","$74,956",0.2%,30,177
60901,Kankakee,IL,"$2,235,881","$85,995",0.2%,26,156
60436,Joliet,IL,"$2,197,814","$183,151",0.2%,12,131
46368,Portage,IN,"$2,177,874","$103,708",0.2%,21,105
60487,Tinley Park,IL,"$2,162,953","$86,518",0.2%,25,126
60004,Arlington Heights,IL,"$2,154,057","$97,912",0.2%,22,127
60005,Arlington Heights,IL,"$2,117,028","$96,229",0.2%,22,108
60076,Skokie,IL,"$2,091,854","$95,084",0.2%,22,136
60046,Lake Villa,IL,"$2,082,245","$130,140",0.2%,16,122
60035,Highland Park,IL,"$2,069,117","$86,213",0.2%,24,97
60914,Bourbonnais,IL,"$2,055,967","$68,532",0.2%,30,131
60555,Warrenville,IL,"$2,043,153","$81,726",0.2%,25,152
60552,Somonauk,IL,"$2,031,929","$63,498",0.2%,32,162
60181,Villa Park,IL,"$2,024,515","$96,405",0.2%,21,72
60512,Bristol,IL,"$2,006,022","$74,297",0.2%,27,173
60458,Justice,IL,"$2,000,114","$100,006",0.2%,20,122
60451,New Lenox,IL,"$1,991,382","$104,810",0.2%,19,114
60137,Glen Ellyn,IL,"$1,964,298","$130,953",0.2%,15,116
60515,Downers Grove,IL,"$1,955,102","$122,194",0.2%,16,86
60439,Lemont,IL,"$1,938,632","$77,545",0.2%,25,129
60467,Orland Park,IL,"$1,928,445","$91,831",0.1%,21,92
46323,Hammond,IN,"$1,898,887","$126,592",0.1%,15,124
60481,Wilmington,IL,"$1,884,522","$157,044",0.1%,12,137
60103,Bartlett,IL,"$1,880,688","$94,034",0.1%,20,114
60706,Harwood Heights,IL,"$1,868,953","$74,758",0.1%,25,131
60099,Zion,IL,"$1,846,331","$115,396",0.1%,16,140
60525,La Grange,IL,"$1,842,943","$73,718",0.1%,25,129
46360,Michigan City,IN,"$1,788,277","$85,156",0.1%,21,121
60511,Big Rock,IL,"$1,787,522","$66,205",0.1%,27,125
60162,Hillside,IL,"$1,780,490","$111,281",0.1%,16,100
60601,Chicago,IL,"$1,770,617","$84,315",0.1%,21,159
60950,Manteno,IL,"$1,749,938","$109,371",0.1%,16,127
60915,Bradley,IL,"$1,743,378","$116,225",0.1%,15,121
60463,Palos Heights,IL,"$1,716,246","$90,329",0.1%,19,90
60172,Roselle,IL,"$1,712,410","$100,730",0.1%,17,111
60551,Sheridan,IL,"$1,695,139","$73,702",0.1%,23,137
60422,Flossmoor,IL,"$1,676,859","$98,639",0.1%,17,84
60047,Lake Zurich,IL,"$1,650,461","$117,890",0.1%,14,90
60174,Saint Charles,IL,"$1,637,188","$125,938",0.1%,13,126
60031,Gurnee,IL,"$1,605,292","$94,429",0.1%,17,90
60633,Chicago,IL,"$1,587,136","$72,143",0.1%,22,96
46310,Demotte,IN,"$1,550,938","$129,245",0.1%,12,96
60660,Chicago,IL,"$1,543,780","$70,172",0.1%,22,79
53147,Lake Geneva,WI,"$1,537,029","$139,730",0.1%,11,63
60521,Hinsdale,IL,"$1,528,337","$80,439",0.1%,19,59
60478,Country Club Hills,IL,"$1,507,145","$100,476",0.1%,15,81
60461,Olympia Fields,IL,"$1,503,364","$125,280",0.1%,12,135
60805,Evergreen Park,IL,"$1,502,399","$62,600",0.1%,24,116
46404,Gary,IN,"$1,499,020","$115,309",0.1%,13,91
60429,Hazel Crest,IL,"$1,497,894","$68,086",0.1%,22,91
60507,Aurora,IL,"$1,463,377","$63,625",0.1%,23,130
60193,Schaumburg,IL,"$1,460,674","$104,334",0.1%,14,90
60201,Evanston,IL,"$1,452,064","$96,804",0.1%,15,67
60449,Monee,IL,"$1,445,716","$85,042",0.1%,17,103
60169,Hoffman Estates,IL,"$1,439,872","$110,759",0.1%,13,36
60068,Park Ridge,IL,"$1,412,069","$88,254",0.1%,16,96
60646,Chicago,IL,"$1,397,680","$63,531",0.1%,22,80
60191,Wood Dale,IL,"$1,377,215","$105,940",0.1%,13,89
60452,Oak Forest,IL,"$1,342,726","$70,670",0.1%,19,62
61704,Bloomington,IL,"$1,326,648","$94,761",0.1%,14,86
60108,Bloomingdale,IL,"$1,275,481","$70,860",0.1%,18,103
60073,Round Lake,IL,"$1,260,382","$66,336",0.1%,19,105
60426,Harvey,IL,"$1,249,402","$69,411",0.1%,18,87
46324,Hammond,IN,"$1,232,977","$102,748",0.1%,12,72
60561,Darien,IL,"$1,192,344","$74,522",0.1%,16,96
60518,Earlville,IL,"$1,168,222","$83,444",0.1%,14,80
46356,Lowell,IN,"$1,146,312","$88,178",0.1%,13,83
60091,Wilmette,IL,"$1,134,100","$81,007",0.1%,14,123
60661,Chicago,IL,"$1,127,666","$70,479",0.1%,16,67
60051,McHenry,IL,"$1,069,381","$82,260",0.1%,13,41
60445,Midlothian,IL,"$1,055,467","$70,364",0.1%,15,76
60465,Palos Hills,IL,"$1,051,312","$61,842",0.1%,17,64
60202,Evanston,IL,"$1,048,411","$87,368",0.1%,12,75
60631,Chicago,IL,"$1,034,976","$79,614",0.1%,13,45
60189,Wheaton,IL,"$1,018,640","$78,357",0.1%,13,57
60513,Brookfield,IL,"$1,015,144","$56,397",0.1%,18,62
60093,Winnetka,IL,"$1,003,699","$91,245",0.1%,11,49
60425,Glenwood,IL,"$997,482","$90,680",0.1%,11,70
60171,River Grove,IL,"$978,191","$81,516",0.1%,12,53
