DRG Code,DRG Description,Definitive ID,Facility Name,Firm Type,# Actual Claims,% Actual Claims,# Actual Unique Patients,Actual Charges,% Actual Charges,Charge/Claim (Actual)
999,UNGROUPABLE,1149,Rush University Medical Center,Hospital,"2,721",14.8%,"2,265","$26,092,944",7.3%,"$9,589"
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS W MCC,1198,Rush Copley Medical Center (AKA Copley Memorial Hospital),Hospital,143,0.8%,98,"$5,133,032",1.4%,"$35,895"
025,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES W MCC,1149,Rush University Medical Center,Hospital,58,0.3%,46,"$5,065,869",1.4%,"$87,343"
003,"ECMO OR TRACH W MV 96 OR MORE HRS OR PDX EXC FACE, MOUTH & NECK W MAJ O.R.",1149,Rush University Medical Center,Hospital,17,0.1%,14,"$5,001,255",1.4%,"$294,191"
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS W MCC,1161,Rush Oak Park Hospital,Hospital,162,0.9%,117,"$4,171,061",1.2%,"$25,747"
871,SEPTICEMIA OR SEVERE SEPSIS W/O MV 96 OR MORE HOURS W MCC,1149,Rush University Medical Center,Hospital,183,1.0%,136,"$4,074,604",1.1%,"$22,266"
219,CARDIAC VALVE & OTH MAJ CARDIOTHORACIC PROC W/O CARD CATH W MCC,1149,Rush University Medical Center,Hospital,25,0.1%,21,"$3,983,970",1.1%,"$159,359"
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,1149,Rush University Medical Center,Hospital,56,0.3%,45,"$3,845,775",1.1%,"$68,675"
467,REVISION OF HIP OR KNEE REPLACEMENT W CC,1149,Rush University Medical Center,Hospital,50,0.3%,41,"$3,503,684",1.0%,"$70,074"
005,LIVER TRANSPLANT W MCC OR INTESTINAL TRANSPLANT,1149,Rush University Medical Center,Hospital,11,0.1%,8,"$3,317,118",0.9%,"$301,556"
267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT W/O MCC,1149,Rush University Medical Center,Hospital,33,0.2%,28,"$3,174,180",0.9%,"$96,187"
834,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC,1149,Rush University Medical Center,Hospital,17,0.1%,14,"$2,903,844",0.8%,"$170,814"
330,MAJOR SMALL & LARGE BOWEL PROCEDURES W CC,1149,Rush University Medical Center,Hospital,69,0.4%,52,"$2,647,677",0.7%,"$38,372"
885,PSYCHOSES,1149,Rush University Medical Center,Hospital,534,2.9%,213,"$2,616,303",0.7%,"$4,899"
252,OTHER VASCULAR PROCEDURES W MCC,1149,Rush University Medical Center,Hospital,46,0.3%,39,"$2,613,198",0.7%,"$56,809"
270,OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC,1149,Rush University Medical Center,Hospital,30,0.2%,25,"$2,489,195",0.7%,"$82,973"
064,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,1149,Rush University Medical Center,Hospital,78,0.4%,66,"$2,367,546",0.7%,"$30,353"
001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM W MCC,1149,Rush University Medical Center,Hospital,4,0.0%,3,"$2,261,124",0.6%,"$565,281"
291,HEART FAILURE & SHOCK W MCC,1149,Rush University Medical Center,Hospital,151,0.8%,93,"$2,247,649",0.6%,"$14,885"
020,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE W MCC,1149,Rush University Medical Center,Hospital,10,0.1%,6,"$2,239,688",0.6%,"$223,969"
427,MULTIPLE LEVEL COMBINED ANTERIOR AND POSTERIOR SPINAL FUSION EXCEPT CERVICAL WITH CC,1149,Rush University Medical Center,Hospital,16,0.1%,13,"$2,206,361",0.6%,"$137,898"
807,VAGINAL DELIVERY W/O STERILIZATION/D&C W/O CC/MCC,1198,Rush Copley Medical Center (AKA Copley Memorial Hospital),Hospital,501,2.7%,483,"$2,205,588",0.6%,"$4,402"
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,1149,Rush University Medical Center,Hospital,199,1.1%,182,"$2,120,148",0.6%,"$10,654"
023,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX W MCC OR CHEMO IMPLANT,1149,Rush University Medical Center,Hospital,34,0.2%,25,"$2,067,576",0.6%,"$60,811"
329,MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC,1149,Rush University Medical Center,Hospital,33,0.2%,29,"$2,009,732",0.6%,"$60,901"
189,PULMONARY EDEMA & RESPIRATORY FAILURE,1149,Rush University Medical Center,Hospital,169,0.9%,142,"$1,837,147",0.5%,"$10,871"
853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,1198,Rush Copley Medical Center (AKA Copley Memorial Hospital),Hospital,29,0.2%,24,"$1,821,530",0.5%,"$62,811"
193,SIMPLE PNEUMONIA & PLEURISY W MCC,1198,Rush Copley Medical Center (AKA Copley Memorial Hospital),Hospital,102,0.6%,75,"$1,770,844",0.5%,"$17,361"
793,FULL TERM NEONATE W MAJOR PROBLEMS,1149,Rush University Medical Center,Hospital,60,0.3%,52,"$1,746,606",0.5%,"$29,110"
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",1198,Rush Copley Medical Center (AKA Copley Memorial Hospital),Hospital,58,0.3%,49,"$1,730,048",0.5%,"$29,828"
274,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC,1149,Rush University Medical Center,Hospital,29,0.2%,24,"$1,721,970",0.5%,"$59,378"
999,UNGROUPABLE,1198,Rush Copley Medical Center (AKA Copley Memorial Hospital),Hospital,223,1.2%,216,"$1,708,816",0.5%,"$7,663"
291,HEART FAILURE & SHOCK W MCC,1198,Rush Copley Medical Center (AKA Copley Memorial Hospital),Hospital,83,0.5%,58,"$1,692,839",0.5%,"$20,396"
164,MAJOR CHEST PROCEDURES W CC,1149,Rush University Medical Center,Hospital,58,0.3%,51,"$1,675,853",0.5%,"$28,894"
870,SEPTICEMIA OR SEVERE SEPSIS W MV 96 OR MORE HOURS,1149,Rush University Medical Center,Hospital,12,0.1%,9,"$1,607,165",0.5%,"$133,930"
468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,1149,Rush University Medical Center,Hospital,24,0.1%,21,"$1,510,571",0.4%,"$62,940"
470,MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,1149,Rush University Medical Center,Hospital,57,0.3%,44,"$1,486,264",0.4%,"$26,075"
876,O.R. PROCEDURE W PRINCIPAL DIAGNOSES OF MENTAL ILLNESS,1149,Rush University Medical Center,Hospital,41,0.2%,35,"$1,388,987",0.4%,"$33,878"
794,NEONATE W OTHER SIGNIFICANT PROBLEMS,1198,Rush Copley Medical Center (AKA Copley Memorial Hospital),Hospital,141,0.8%,134,"$1,386,507",0.4%,"$9,833"
291,HEART FAILURE & SHOCK W MCC,1161,Rush Oak Park Hospital,Hospital,87,0.5%,60,"$1,367,555",0.4%,"$15,719"
405,"PANCREAS, LIVER & SHUNT PROCEDURES W MCC",1149,Rush University Medical Center,Hospital,19,0.1%,15,"$1,364,041",0.4%,"$71,792"
