Hospital Name,HCPCS Category,Total Pmts,Total Charges,Total Claims,Unique Patients,Network,Network Parent,Definitive ID
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Drugs Not Administered Orally,"$1,376,175","$14,062,843","3,719",511,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Advocate Illinois Masonic Medical Center,Chemotherapy Drugs,"$1,269,157","$6,880,791",306,26,Advocate Health Care,Advocate Health,1125
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Chemotherapy Drugs,"$1,251,432","$11,403,754",550,56,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Advocate Christ Medical Center,Chemotherapy Drugs,"$1,231,815","$6,699,476",577,39,Advocate Health Care,Advocate Health,1127
Edward Hospital (FKA Edward Heart Hospital),Chemotherapy Drugs,"$1,029,196","$6,034,994",249,19,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Riverside Medical Center (AKA Riverside Healthcare),Chemotherapy Drugs,"$1,023,916","$5,132,963",342,17,,,1201
Advocate Christ Medical Center,Drugs Not Administered Orally,"$1,019,485","$7,215,246","2,777",385,Advocate Health Care,Advocate Health,1127
Loyola University Medical Center,Chemotherapy Drugs,"$957,439","$2,814,461",269,25,Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
Swedish Hospital (FKA Swedish Covenant Hospital),Chemotherapy Drugs,"$949,411","$6,735,855",474,34,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1145
Northwestern Medicine Central DuPage Hospital,Chemotherapy Drugs,"$879,535","$9,645,543",555,25,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),Chemotherapy Drugs,"$843,523","$8,979,856",281,21,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1196
Elmhurst Hospital,Surgery - Musculoskeletal System,"$809,947","$1,649,060",168,110,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
Elmhurst Hospital,Chemotherapy Drugs,"$698,525","$4,900,449",119,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
Northwestern Memorial Hospital,Eval. and Mgmt. - Emergency Department Services,"$694,518","$3,819,695","1,200",558,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
University of Illinois Hospital,Drugs Not Administered Orally,"$683,673","$2,505,023","3,269",346,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health),1142
Shirley Ryan AbilityLab (FKA the Rehabilitation Institute of Chicago),Medicine - Physical Medicine and Rehabilitation,"$665,283","$7,655,896","15,099",602,,,5910
University of Illinois Hospital,Chemotherapy Drugs,"$648,815","$1,144,357",127,26,University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health),1142
Swedish Hospital (FKA Swedish Covenant Hospital),Drugs Not Administered Orally,"$562,329","$3,369,708","1,978",267,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1145
Edward Hospital (FKA Edward Heart Hospital),Eval. and Mgmt. - Emergency Department Services,"$555,731","$3,377,751","1,115",675,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Northwestern Memorial Hospital,Surgery - Digestive System,"$532,664","$3,975,833",555,328,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Northwestern Memorial Hospital,Surgery - Musculoskeletal System,"$529,430","$2,829,766",144,96,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Franciscan Health Michigan City (FKA Franciscan St Anthony Health - Michigan City),Drugs Not Administered Orally,"$528,230","$5,483,114",747,133,Franciscan Alliance Inc (AKA Franciscan Health),,1348
Advocate Good Samaritan Hospital,Medicine - Cardiovascular,"$515,503","$2,651,421",784,290,Advocate Health Care,Advocate Health,1173
Northwestern Memorial Hospital,Radiology - Diagnostic Imaging,"$515,108","$15,493,962","4,166","1,552",Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Froedtert Hospital,Temporary Codes,"$515,045","$2,398,288",18,,Froedtert & the Medical College of Wisconsin,Froedtert ThedaCare Health Inc,4529
Northwestern Medicine Central DuPage Hospital,Drugs Not Administered Orally,"$492,951","$7,317,716","3,816",400,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1175
Evanston Hospital (AKA NorthShore Evanston Hospital),Surgery - Musculoskeletal System,"$486,637","$1,102,854",449,204,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1154
Edward Hospital (FKA Edward Heart Hospital),Medicine - Cardiovascular,"$469,215","$2,683,182","1,242",550,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1176
Evanston Hospital (AKA NorthShore Evanston Hospital),Temporary Procedures & Professional Services,"$455,907","$1,094,987","6,495","1,642",Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1154
Uchicago Medicine AdventHealth La Grange (FKA AdventHealth La Grange),Surgery - Musculoskeletal System,"$445,619","$932,174",105,59,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1162
Northwestern Memorial Hospital,Medicine - Cardiovascular,"$437,348","$3,636,019","1,644",647,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
John H Stroger Jr Hospital of Cook County,Chemotherapy Drugs,"$433,877","$990,267",218,17,Cook County Health & Hospitals System,,1140
Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),Chemotherapy Drugs,"$432,803","$2,590,866",121,,Prime Healthcare Services,Prime Healthcare Services,1120
Loyola University Medical Center,Temporary Procedures & Professional Services,"$423,322","$1,225,756","6,505","1,785",Loyola University Health System (AKA Loyola Medicine),Trinity Health (FKA CHE Trinity Health),1136
Mishawaka Medical Center (FKA St Joseph Regional Medical Center),Chemotherapy Drugs,"$417,688","$1,330,568",48,,St Joseph Health System (Mishawaka IN),Trinity Health (FKA CHE Trinity Health),1382
Northwestern Memorial Hospital,Surgery - Cardiovascular System,"$409,681","$2,102,262","7,108","2,296",Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
Advocate Good Samaritan Hospital,Surgery - Musculoskeletal System,"$407,773","$750,525",71,54,Advocate Health Care,Advocate Health,1173
Elmhurst Hospital,Drugs Not Administered Orally,"$404,880","$3,821,025","2,405",427,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),1177
Uchicago Medicine AdventHealth Bolingbrook (FKA AdventHealth Bolingbrook),Drugs Not Administered Orally,"$399,386","$1,534,398",961,101,UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1276
Saint Mary of Nazareth Hospital (FKA Ascension St Mary Chicago - Saint Mary Campus),Chemotherapy Drugs,"$395,216","$1,871,656",86,,Prime Healthcare Services,Prime Healthcare Services,1123
Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Temporary Procedures & Professional Services,"$392,723","$2,775,798","4,596","1,388",UChicago Medicine (FKA University of Chicago Medicine),UChicago Medicine (FKA University of Chicago Medicine),1168
Northwestern Memorial Hospital,Temporary Hospital Outpatient Prospective Payment System,"$391,877","$7,609,640","1,257",518,Northwestern Medicine (AKA Northwestern Memorial Healthcare),,1135
University of Illinois Hospital,Temporary Procedures & Professional Services,"$391,125","$1,790,688","4,118","1,131",University of Illinois Hospital & Health Sciences System (AKA UI Health),University of Illinois Hospital & Health Sciences System (AKA UI Health),1142
