Definitive ID,Hospital name,City,State,Medicare pmts,Medicare charges,# of referrals,% of referrals,# of unique beneficiaries,Network name,In-network referrals
1161,Rush Oak Park Hospital,Oak Park,IL,"$4,613,095","$12,961,063",119,8.3%,105,Rush University System for Health (AKA RUSH),Yes
1198,Rush Copley Medical Center (AKA Copley Memorial Hospital),Aurora,IL,"$2,608,608","$7,689,448",61,4.3%,51,Rush University System for Health (AKA RUSH),Yes
1176,Edward Hospital (FKA Edward Heart Hospital),Naperville,IL,"$1,503,163","$5,845,433",50,3.5%,46,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),No
1149,Rush University Medical Center,Chicago,IL,"$1,485,725","$5,138,126",93,6.5%,84,Rush University System for Health (AKA RUSH),Yes
1173,Advocate Good Samaritan Hospital,Downers Grove,IL,"$1,320,618","$4,561,269",35,2.4%,31,Advocate Health Care,No
1277,Silver Cross Hospital,New Lenox,IL,"$1,269,814","$4,010,717",35,2.4%,31,,No
1340,Community Hospital,Munster,IN,"$1,218,316","$3,848,041",30,2.1%,29,Powers Health (FKA Community Healthcare System),No
1123,Saint Mary of Nazareth Hospital (FKA Ascension St Mary Chicago - Saint Mary Campus),Chicago,IL,"$1,098,375","$2,588,228",33,2.3%,24,Prime Healthcare Services,No
1347,Northwest Health - La Porte (FKA La Porte Hospital),La Porte,IN,"$1,046,189","$3,714,832",,,,Northwest Health Porter (FKA Porter Health Care System),No
1142,University of Illinois Hospital,Chicago,IL,"$1,031,142","$2,530,578",47,3.3%,36,University of Illinois Hospital & Health Sciences System (AKA UI Health),No
1175,Northwestern Medicine Central DuPage Hospital,Winfield,IL,"$977,018","$3,356,489",24,1.7%,20,Northwestern Medicine (AKA Northwestern Memorial Healthcare),No
1118,UChicago Medicine Ingalls Memorial Hospital,Harvey,IL,"$952,101","$2,479,135",18,1.3%,18,UChicago Medicine (FKA University of Chicago Medicine),No
1195,Mercy Medical Center (FKA Ascension Mercy),Aurora,IL,"$950,271","$4,248,156",54,3.8%,48,Prime Healthcare Services,No
1127,Advocate Christ Medical Center,Oak Lawn,IL,"$883,540","$2,111,722",29,2.0%,26,Advocate Health Care,No
1160,Northwestern Medicine Palos Hospital (AKA Palos Health),Palos Heights,IL,"$841,148","$1,934,384",32,2.2%,19,Northwestern Medicine (AKA Northwestern Memorial Healthcare),No
1168,Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Chicago,IL,"$805,027","$2,633,449",27,1.9%,25,UChicago Medicine (FKA University of Chicago Medicine),No
1157,West Suburban Medical Center,Oak Park,IL,"$785,703","$2,739,091",27,1.9%,23,Resilience Healthcare,No
1152,Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),Chicago,IL,"$761,059","$2,422,082",26,1.8%,24,Sinai Chicago (FKA Sinai Health System),No
1122,OSF Little Company of Mary Medical Center (FKA Little Company of Mary Hospital),Evergreen Park,IL,"$708,375","$1,808,830",20,1.4%,19,OSF HealthCare,No
1132,Community First Medical Center (FKA Our Lady of the Resurrection Medical Center),Chicago,IL,"$700,816","$2,215,266",27,1.9%,19,,No
1342,Franciscan Health Dyer (FKA Franciscan St Margaret Health - Dyer Campus),Dyer,IN,"$688,085","$1,903,881",18,1.3%,14,Franciscan Alliance Inc (AKA Franciscan Health),No
1135,Northwestern Memorial Hospital,Chicago,IL,"$672,381","$1,713,652",36,2.5%,33,Northwestern Medicine (AKA Northwestern Memorial Healthcare),No
1154,Evanston Hospital (AKA NorthShore Evanston Hospital),Evanston,IL,"$663,920","$1,459,606",17,1.2%,14,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),No
1201,Riverside Medical Center (AKA Riverside Healthcare),Kankakee,IL,"$594,983","$1,313,031",19,1.3%,16,,No
1156,Advocate Trinity Hospital,Chicago,IL,"$585,808","$1,305,388",17,1.2%,16,Advocate Health Care,No
1141,Holy Cross Hospital,Chicago,IL,"$570,439","$1,421,192",14,1.0%,12,Sinai Chicago (FKA Sinai Health System),No
1128,Advocate Lutheran General Hospital,Park Ridge,IL,"$553,733","$1,682,664",22,1.5%,20,Advocate Health Care,No
1133,Northwest Community Hospital (AKA Northwest Community Healthcare),Arlington Heights,IL,"$523,432","$1,313,088",14,1.0%,12,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),No
1145,Swedish Hospital (FKA Swedish Covenant Hospital),Chicago,IL,"$489,954","$1,148,707",17,1.2%,11,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),No
1177,Elmhurst Hospital,Elmhurst,IL,"$488,858","$1,441,877",16,1.1%,16,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),No
1196,Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),Geneva,IL,"$481,469","$1,780,344",20,1.4%,19,Northwestern Medicine (AKA Northwestern Memorial Healthcare),No
1165,Weiss Memorial Hospital (Closed),Chicago,IL,"$469,309","$1,799,780",,,,Resilience Healthcare,No
1120,Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),Olympia Fields,IL,"$467,116","$1,424,257",12,0.8%,12,Prime Healthcare Services,No
1140,John H Stroger Jr Hospital of Cook County,Chicago,IL,"$438,015","$1,101,902",12,0.8%,,Cook County Health & Hospitals System,No
1210,Advocate Good Shepherd Hospital,Barrington,IL,"$433,144","$1,443,356",11,0.8%,,Advocate Health Care,No
1162,Uchicago Medicine AdventHealth La Grange (FKA AdventHealth La Grange),La Grange,IL,"$401,329","$1,350,110",13,0.9%,13,UChicago Medicine (FKA University of Chicago Medicine),No
1126,Humboldt Park Health (FKA Norwegian American Hospital),Chicago,IL,"$387,041","$1,152,489",22,1.5%,22,,No
1129,Ascension Saint Joseph Chicago (FKA AMITA Health Saint Joseph Hospital Chicago),Chicago,IL,"$353,688","$951,816",11,0.8%,11,Ascension Health Illinois,No
1376,Northwest Health - Porter (AKA Porter Regional Hospital),Valparaiso,IN,"$344,901","$1,177,876",,,,Northwest Health Porter (FKA Porter Health Care System),No
1136,Loyola University Medical Center,Maywood,IL,"$323,377","$1,123,428",17,1.2%,16,Loyola University Health System (AKA Loyola Medicine),No
1345,Methodist Hospitals - Northlake,Gary,IN,"$318,282","$1,241,505",,,,Methodist Hospitals,No
1275,Saint Joseph Medical Center - Joliet (FKA Ascension Saint Joseph Joliet),Joliet,IL,"$317,406","$889,390",14,1.0%,11,Prime Healthcare Services,No
1207,Advocate Condell Medical Center,Libertyville,IL,"$314,928","$802,978",,,,Advocate Health Care,No
