Definitive ID,Hospital name,City,State,Medicare pmts,Medicare charges,# of referrals,% of referrals,# of unique beneficiaries,IDN name,In-network referrals
1149,Rush University Medical Center,Chicago,IL,"$7,221,702","$20,650,511",180,15.3%,156,Rush University System for Health (AKA RUSH),Yes
1135,Northwestern Memorial Hospital,Chicago,IL,"$3,043,361","$14,544,873",63,5.4%,56,Northwestern Medicine (AKA Northwestern Memorial Healthcare),No
1140,John H Stroger Jr Hospital of Cook County,Chicago,IL,"$1,121,423","$775,554",14,1.2%,13,Cook County Health & Hospitals System,No
1127,Advocate Christ Medical Center,Oak Lawn,IL,"$920,039","$2,820,157",24,2.0%,22,Advocate Health Care,No
1168,Uchicago Medicine Mitchell Hospital - Hyde Park (AKA Bernard A Mitchell Hospital),Chicago,IL,"$812,028","$4,090,610",27,2.3%,25,UChicago Medicine (FKA University of Chicago Medicine),No
1198,Rush Copley Medical Center (AKA Copley Memorial Hospital),Aurora,IL,"$807,856","$3,151,220",41,3.5%,37,Rush University System for Health (AKA RUSH),Yes
1142,University of Illinois Hospital,Chicago,IL,"$789,570","$2,268,892",45,3.8%,19,University of Illinois Hospital & Health Sciences System (AKA UI Health),No
1161,Rush Oak Park Hospital,Oak Park,IL,"$677,869","$1,986,906",52,4.4%,47,Rush University System for Health (AKA RUSH),Yes
1195,Mercy Medical Center (FKA Ascension Mercy),Aurora,IL,"$594,447","$4,163,123",41,3.5%,39,Prime Healthcare Services,No
1136,Loyola University Medical Center,Maywood,IL,"$590,944","$2,257,439",23,2.0%,20,Loyola University Health System (AKA Loyola Medicine),No
1162,Uchicago Medicine AdventHealth La Grange (FKA AdventHealth La Grange),La Grange,IL,"$573,653","$1,653,591",26,2.2%,23,UChicago Medicine (FKA University of Chicago Medicine),No
1176,Edward Hospital (FKA Edward Heart Hospital),Naperville,IL,"$524,939","$3,474,012",32,2.7%,28,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),No
1120,Olympia Fields Hospital (FKA Franciscan Health Olympia Fields),Olympia Fields,IL,"$515,745","$1,441,826",16,1.4%,14,Prime Healthcare Services,No
1152,Mt Sinai Hospital Medical Center (AKA Mount Sinai Hospital),Chicago,IL,"$509,807","$2,086,680",20,1.7%,15,Sinai Chicago (FKA Sinai Health System),No
1157,West Suburban Medical Center,Oak Park,IL,"$403,242","$1,924,480",19,1.6%,18,Resilience Healthcare,No
1196,Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),Geneva,IL,"$402,604","$1,324,980",17,1.4%,16,Northwestern Medicine (AKA Northwestern Memorial Healthcare),No
1147,Resurrection Medical Center (FKA Ascension Resurrection),Chicago,IL,"$392,814","$2,648,105",25,2.1%,20,Prime Healthcare Services,No
1173,Advocate Good Samaritan Hospital,Downers Grove,IL,"$386,093","$2,210,286",26,2.2%,23,Advocate Health Care,No
1154,Evanston Hospital (AKA NorthShore Evanston Hospital),Evanston,IL,"$338,138","$1,502,741",22,1.9%,17,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),No
1277,Silver Cross Hospital,New Lenox,IL,"$305,331","$727,892",16,1.4%,15,,No
1153,Gottlieb Memorial Hospital,Melrose Park,IL,"$292,278","$985,339",14,1.2%,14,Loyola University Health System (AKA Loyola Medicine),No
1342,Franciscan Health Dyer (FKA Franciscan St Margaret Health - Dyer Campus),Dyer,IN,"$287,427","$1,149,837",15,1.3%,13,Franciscan Alliance Inc (AKA Franciscan Health),No
1122,OSF Little Company of Mary Medical Center (FKA Little Company of Mary Hospital),Evergreen Park,IL,"$247,345","$833,716",14,1.2%,12,OSF HealthCare,No
1145,Swedish Hospital (FKA Swedish Covenant Hospital),Chicago,IL,"$246,159","$1,081,141",14,1.2%,,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),No
1156,Advocate Trinity Hospital,Chicago,IL,"$243,205","$636,944",,,,Advocate Health Care,No
1344,St Mary Medical Center,Hobart,IN,"$243,170","$890,152",11,0.9%,,Powers Health (FKA Community Healthcare System),No
1177,Elmhurst Hospital,Elmhurst,IL,"$219,460","$1,396,212",19,1.6%,19,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),No
1133,Northwest Community Hospital (AKA Northwest Community Healthcare),Arlington Heights,IL,"$217,802","$692,574",17,1.4%,15,Endeavor Health (FKA NorthShore - Edward-Elmhurst Health),No
1123,Saint Mary of Nazareth Hospital (FKA Ascension St Mary Chicago - Saint Mary Campus),Chicago,IL,"$203,279","$1,006,117",12,1.0%,11,Prime Healthcare Services,No
1144,Insight Hospital & Medical Center Chicago (FKA Mercy Hospital & Medical Center),Chicago,IL,"$186,105","$662,018",12,1.0%,,Insight,No
